Time,D_1_1,D_1_3,D_1_5,D_1_7,D_1_9,D_1_11,D_1_13,D_1_15,D_2_2,D_2_4,D_2_6,D_2_8,D_2_10,D_2_12,D_2_14,D_2_16,D_3_1,D_3_3,D_3_5,D_3_7,D_3_9,D_3_11,D_3_13,D_3_15,D_4_2,D_4_4,D_4_6,D_4_8,D_4_10,D_4_12,D_4_14,D_4_16,D_5_1,D_5_3,D_5_5,D_5_7,D_5_9,D_5_11,D_5_13,D_5_15,D_6_2,D_6_4,D_6_6,D_6_8,D_6_10,D_6_12,D_6_14,D_6_16,D_7_1,D_7_3,D_7_5,D_7_7,D_7_9,D_7_11,D_7_13,D_7_15,D_8_2,D_8_4,D_8_6,D_8_8,D_8_10,D_8_12,D_8_14,D_8_16,NA_1_1,NA_1_3,NA_1_5,NA_1_7,NA_1_9,NA_1_11,NA_1_13,NA_1_15,NA_2_2,NA_2_4,NA_2_6,NA_2_8,NA_2_10,NA_2_12,NA_2_14,NA_2_16,NA_3_1,NA_3_3,NA_3_5,NA_3_7,NA_3_9,NA_3_11,NA_3_13,NA_3_15,NA_4_2,NA_4_4,NA_4_6,NA_4_8,NA_4_10,NA_4_12,NA_4_14,NA_4_16,NA_5_1,NA_5_3,NA_5_5,NA_5_7,NA_5_9,NA_5_11,NA_5_13,NA_5_15,NA_6_2,NA_6_4,NA_6_6,NA_6_8,NA_6_10,NA_6_12,NA_6_14,NA_6_16,NA_7_1,NA_7_3,NA_7_5,NA_7_7,NA_7_9,NA_7_11,NA_7_13,NA_7_15,NA_8_2,NA_8_4,NA_8_6,NA_8_8,NA_8_10,NA_8_12,NA_8_14,NA_8_16
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398759,0.1675842944398778,0.1675842944398778,0.1675842944398759,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398757,0.1675842944398758,0.1675842944398758,0.1675842944398777,0.1675842944398759,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398759,0.1675842944398777,0.1675842944398759,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398777,0.1675842944398759,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398777,0.1675842944398759,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398779,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398758,0.1675842944398759,0.1675842944398758,0.1675842944398777,0.1675842944398777,0.1675842944398777,0.1675842944398777,0.1675842944398777,0.1675842944398777,0.1675842944398778,8.674662840536486,8.674662840536485,8.674662840536485,8.674662840536485,8.674662840536485,8.674662840536485,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536488,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536485,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536485,8.674662840536488,8.674662840536488,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536485,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536485,8.674662840536488,8.674662840536486,8.674662840536485,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536486,8.674662840536485,8.674662840536485,8.674662840536486,8.674662840536486,8.674662840536485,8.674662840536485,8.674662840536485,8.674662840536485,8.674662840536488
36,0.02868276996690159,0.02868276996690133,0.02868276996690158,0.028682769966902,0.02868276996690175,0.02868276996690161,0.02868276996690166,0.02868276996690209,0.02868276996690201,0.02868276996690157,0.02868276996690152,0.02868276996690185,0.02868276996690157,0.02868276996690173,0.0286827699669016,0.02868276996690157,0.02868276996690222,0.02868276996690151,0.02868276996690178,0.02868276996690164,0.028682769966902,0.02868276996690218,0.02868276996690204,0.02868276996690166,0.02868276996690237,0.02868276996690163,0.02868276996690141,0.02868276996690174,0.02868276996690164,0.02868276996690133,0.02868276996690164,0.02868276996690131,0.02868276996690211,0.02868276996690161,0.0286827699669014,0.02868276996690191,0.02868276996690187,0.02868276996690173,0.02868276996690175,0.02868276996690189,0.02868276996690212,0.02868276996690188,0.02868276996690183,0.02868276996690191,0.02868276996690195,0.02868276996690197,0.02868276996690189,0.02868276996690164,0.02868276996690186,0.02868276996690204,0.02868276996690164,0.0286827699669017,0.02868276996690164,0.02868276996690177,0.02868276996690197,0.02868276996690154,0.02868276996690182,0.0286827699669021,0.02868276996690223,0.02868276996690229,0.02868276996690203,0.02868276996690204,0.0286827699669021,0.02868276996690233,8.449201522262385,8.449201522266023,8.449201522263744,8.449201522257642,8.449201522261806,8.449201522261019,8.449201522262648,8.449201522263175,8.449201522263566,8.44920152226257,8.449201522261669,8.449201522262374,8.449201522264438,8.449201522262818,8.44920152225683,8.449201522261328,8.449201522260248,8.449201522262943,8.449201522260653,8.449201522260397,8.449201522259543,8.449201522261708,8.449201522263559,8.449201522263035,8.449201522259223,8.449201522262284,8.449201522265941,8.449201522264268,8.449201522259822,8.449201522263225,8.449201522263555,8.449201522264072,8.449201522260715,8.449201522265341,8.449201522261502,8.449201522262513,8.449201522259308,8.44920152226182,8.449201522263957,8.449201522259649,8.449201522257072,8.449201522258399,8.44920152225818,8.449201522257079,8.449201522257592,8.44920152226207,8.449201522256857,8.449201522260193,8.449201522264046,8.449201522259276,8.449201522262889,8.449201522264993,8.449201522261141,8.449201522261587,8.449201522260504,8.449201522260973,8.449201522264255,8.449201522262902,8.44920152226101,8.449201522262808,8.449201522267234,8.44920152225885,8.449201522266018,8.449201522262429
54,0.01195075452925771,0.01195075452922847,0.01195075452919297,0.01195075452901416,0.01195075452923993,0.01195075452913861,0.01195075452923736,0.01195075452924153,0.01195075452921601,0.01195075452925736,0.01195075452911975,0.01195075452924419,0.01195075452936071,0.01195075452921402,0.0119507545289178,0.01195075452914035,0.01195075452911961,0.01195075452911864,0.01195075452926623,0.01195075452913875,0.0119507545292651,0.01195075452935759,0.01195075452934378,0.01195075452922359,0.01195075452911818,0.01195075452926331,0.01195075452936281,0.01195075452921145,0.01195075452915545,0.01195075452910844,0.01195075452922973,0.01195075452925955,0.0119507545291203,0.01195075452936914,0.01195075452916269,0.01195075452921875,0.01195075452914893,0.01195075452924602,0.01195075452921981,0.01195075452911973,0.01195075452889037,0.01195075452916779,0.01195075452900222,0.01195075452904388,0.01195075452899477,0.01195075452936508,0.01195075452904272,0.01195075452916542,0.01195075452923694,0.01195075452926963,0.01195075452923866,0.01195075452936214,0.01195075452911901,0.01195075452926534,0.01195075452924701,0.01195075452914181,0.01195075452933466,0.01195075452921712,0.01195075452924554,0.01195075452923402,0.01195075452944571,0.01195075452903219,0.01195075452931167,0.0119507545292391,2.356256282211914,2.356256282222156,2.356256282235507,2.356256282263027,2.356256282218493,2.356256282236392,2.35625628221843,2.356256282216388,2.356256282227625,2.356256282211444,2.356256282242154,2.356256282216413,2.356256282193583,2.356256282228736,2.356256282278548,2.356256282235773,2.356256282243282,2.356256282242942,2.356256282208978,2.356256282236239,2.356256282210022,2.356256282195587,2.356256282198629,2.356256282223849,2.356256282245095,2.356256282209897,2.356256282192176,2.356256282228397,2.356256282229966,2.356256282247591,2.356256282220921,2.35625628221048,2.356256282243492,2.356256282188619,2.356256282227229,2.356256282226414,2.356256282232376,2.356256282215885,2.356256282225031,2.356256282244067,2.356256282289291,2.35625628222582,2.35625628226755,2.35625628225211,2.356256282270847,2.356256282192798,2.35625628225175,2.356256282225597,2.356256282218962,2.35625628220782,2.356256282218212,2.356256282192096,2.356256282243232,2.356256282208642,2.356256282216304,2.356256282234763,2.356256282203417,2.356256282227205,2.356256282215852,2.356256282221012,2.356256282181299,2.356256282257192,2.356256282210389,2.35625628221871
72,0.02077767031381539,0.02077767031370172,0.02077767031385706,0.0207776703134923,0.0207776703137388,0.02077767031355236,0.02077767031420559,0.02077767031395072,0.02077767031383282,0.02077767031397758,0.02077767031374668,0.02077767031399944,0.02077767031396148,0.02077767031367902,0.02077767031318251,0.02077767031388337,0.02077767031371783,0.02077767031367102,0.02077767031390487,0.02077767031354746,0.02077767031380807,0.02077767031393309,0.02077767031425044,0.02077767031389848,0.02077767031351547,0.02077767031375377,0.02077767031407297,0.02077767031369549,0.02077767031370271,0.02077767031336379,0.02077767031374701,0.02077767031411315,0.02077767031374728,0.02077767031446703,0.02077767031358021,0.02077767031394518,0.02077767031396335,0.02077767031404332,0.02077767031390211,0.02077767031365193,0.02077767031297334,0.02077767031397451,0.02077767031338618,0.02077767031382122,0.02077767031333201,0.02077767031415065,0.02077767031346024,0.02077767031426927,0.02077767031395673,0.02077767031409849,0.02077767031375725,0.02077767031430569,0.02077767031351302,0.02077767031398794,0.0207776703139361,0.02077767031365126,0.02077767031385622,0.02077767031362238,0.02077767031390959,0.02077767031366074,0.02077767031439444,0.02077767031319155,0.02077767031397609,0.02077767031365977,2.310489426913622,2.310489426918074,2.310489426900644,2.310489426918757,2.31048942691841,2.31048942692538,2.310489426874728,2.310489426903806,2.310489426907727,2.310489426902598,2.31048942690909,2.310489426895766,2.310489426908209,2.310489426919137,2.310489426943723,2.310489426898648,2.310489426912287,2.31048942691275,2.310489426908552,2.310489426926431,2.310489426914046,2.310489426909463,2.310489426881355,2.310489426907485,2.310489426929319,2.310489426922037,2.310489426899814,2.310489426918057,2.310489426914093,2.310489426937597,2.31048942691887,2.310489426891348,2.310489426911757,2.310489426869383,2.310489426931723,2.310489426899307,2.31048942689719,2.310489426895537,2.310489426901564,2.310489426919566,2.310489426959954,2.310489426894758,2.310489426930541,2.31048942689853,2.310489426933148,2.310489426897761,2.31048942693196,2.310489426868942,2.310489426900033,2.310489426891114,2.310489426920703,2.310489426882518,2.31048942693057,2.31048942690131,2.310489426901578,2.310489426922022,2.310489426913238,2.310489426924549,2.310489426906293,2.310489426925397,2.310489426875888,2.310489426949662,2.310489426902173,2.310489426924995
90,0.01960822778897501,0.0196082277889197,0.01960822778916388,0.0196082277888752,0.01960822778884603,0.01960822778875555,0.01960822778971555,0.01960822778903632,0.0196082277889992,0.01960822778905452,0.01960822778896553,0.01960822778926871,0.01960822778909941,0.0196082277888109,0.01960822778832292,0.01960822778924574,0.01960822778891578,0.01960822778905696,0.01960822778904968,0.01960822778874494,0.01960822778898075,0.0196082277890417,0.01960822778961287,0.01960822778896397,0.01960822778861813,0.0196082277888207,0.01960822778928962,0.01960822778886293,0.01960822778899687,0.01960822778852321,0.01960822778881859,0.0196082277893783,0.01960822778889461,0.01960822778979943,0.01960822778856764,0.01960822778917761,0.01960822778911723,0.01960822778923021,0.01960822778926613,0.01960822778874441,0.01960822778795342,0.01960822778933442,0.01960822778864285,0.019608227789168,0.01960822778861212,0.01960822778913726,0.0196082277885569,0.01960822778979873,0.01960822778917536,0.0196082277894084,0.01960822778874748,0.01960822778950938,0.01960822778858987,0.01960822778919517,0.01960822778927762,0.0196082277887258,0.01960822778899109,0.01960822778879202,0.01960822778907906,0.01960822778871708,0.01960822778972723,0.01960822778822402,0.01960822778914049,0.01960822778882048,2.232384964477022,2.232384964478558,2.232384964465052,2.232384964479798,2.232384964487232,2.232384964489746,2.232384964424988,2.232384964477726,2.232384964478419,2.232384964477209,2.232384964478817,2.232384964458325,2.232384964468395,2.232384964490424,2.232384964519265,2.232384964455923,2.232384964482236,2.232384964464843,2.232384964472791,2.23238496449019,2.232384964476114,2.232384964475036,2.232384964431864,2.232384964481815,2.232384964501967,2.232384964487519,2.232384964454093,2.232384964485217,2.232384964472302,2.23238496450609,2.232384964489886,2.232384964448615,2.232384964484596,2.232384964421441,2.232384964506588,2.232384964464776,2.23238496447236,2.232384964462477,2.232384964451624,2.232384964495658,2.232384964548011,2.232384964450515,2.232384964494941,2.232384964464294,2.232384964495969,2.232384964474101,2.232384964505002,2.232384964419056,2.232384964465369,2.232384964446327,2.232384964496338,2.232384964443515,2.232384964503566,2.232384964462278,2.23238496445097,2.232384964496279,2.232384964477217,2.232384964487059,2.232384964469955,2.232384964495686,2.232384964425472,2.232384964529163,2.23238496446837,2.2323849644831
108,0.0197557100418991,0.01975571004194485,0.01975571004208383,0.01975571004185841,0.01975571004165426,0.01975571004168986,0.01975571004302179,0.0197557100418106,0.0197557100417894,0.01975571004181728,0.01975571004189166,0.01975571004225024,0.01975571004214732,0.01975571004151854,0.01975571004107175,0.01975571004241478,0.019755710041751,0.01975571004231768,0.01975571004196379,0.01975571004165136,0.01975571004194167,0.01975571004187072,0.01975571004296337,0.01975571004176217,0.0197557100412992,0.01975571004166174,0.01975571004244386,0.01975571004167906,0.01975571004206532,0.01975571004123656,0.0197557100415542,0.0197557100426161,0.01975571004173519,0.01975571004314394,0.01975571004123387,0.01975571004212497,0.01975571004196896,0.01975571004218904,0.01975571004262399,0.01975571004142246,0.01975571004034679,0.01975571004245942,0.01975571004164775,0.01975571004210889,0.01975571004162846,0.01975571004175751,0.01975571004133175,0.0197557100431875,0.01975571004208154,0.01975571004262917,0.0197557100413994,0.01975571004258346,0.01975571004135496,0.01975571004221815,0.01975571004263699,0.01975571004143202,0.01975571004179752,0.01975571004174274,0.0197557100421362,0.01975571004146996,0.01975571004302692,0.01975571004069732,0.01975571004200743,0.01975571004195705,2.251655458333812,2.251655458323684,2.251655458322569,2.251655458332293,2.251655458355065,2.251655458347548,2.251655458252021,2.25165545834782,2.251655458343921,2.25165545834167,2.251655458334851,2.251655458314943,2.25165545831523,2.251655458363102,2.251655458390128,2.251655458292052,2.251655458346689,2.251655458298755,2.25165545833419,2.251655458350754,2.251655458332693,2.25165545833756,2.251655458257665,2.251655458349391,2.25165545837719,2.251655458354183,2.251655458295865,2.251655458349013,2.251655458315869,2.251655458379634,2.251655458359687,2.251655458276279,2.251655458343692,2.25165545824762,2.251655458385083,2.251655458317581,2.251655458334021,2.25165545831847,2.251655458276517,2.251655458369851,2.251655458440769,2.251655458295621,2.251655458346552,2.251655458320416,2.251655458342189,2.251655458353504,2.251655458374755,2.251655458239077,2.251655458322457,2.251655458281859,2.251655458374956,2.251655458287235,2.251655458373477,2.251655458314754,2.251655458275592,2.251655458373131,2.251655458345371,2.251655458344608,2.251655458318652,2.25165545836302,2.251655458257202,2.251655458419223,2.251655458328309,2.251655458322741
126,0.01974381600939668,0.01974381600980808,0.01974381600958794,0.01974381600957605,0.01974381600894115,0.01974381600917305,0.01974381601131299,0.01974381600895293,0.019743816009098,0.01974381600923688,0.01974381600948586,0.01974381600977894,0.01974381600995882,0.0197438160087192,0.01974381600827399,0.01974381601051733,0.01974381600908107,0.01974381601035726,0.0197438160093632,0.01974381600914586,0.01974381600942673,0.0197438160092997,0.01974381601117488,0.0197438160089648,0.01974381600842507,0.01974381600899971,0.0197438160103298,0.019743816009092,0.01974381600997176,0.01974381600839269,0.01974381600882306,0.01974381601085163,0.01974381600918265,0.01974381601134593,0.0197438160082789,0.01974381600983712,0.01974381600932244,0.01974381600966438,0.01974381601088009,0.01974381600851149,0.01974381600712787,0.01974381601025953,0.01974381600928977,0.01974381600963733,0.01974381600953881,0.01974381600882048,0.01974381600855337,0.01974381601159911,0.01974381600964826,0.01974381601064785,0.01974381600847269,0.01974381601045882,0.01974381600853608,0.01974381600978692,0.0197438160109145,0.01974381600842344,0.01974381600903604,0.0197438160092442,0.01974381600977537,0.01974381600884528,0.01974381601112787,0.01974381600754712,0.01974381600951813,0.01974381600990576,2.24770488841008,2.24770488836969,2.247704888399976,2.247704888389269,2.247704888442964,2.247704888421767,2.247704888267277,2.247704888449742,2.247704888435979,2.247704888421641,2.247704888397985,2.247704888385083,2.24770488836134,2.247704888460915,2.247704888483769,2.247704888318411,2.247704888434498,2.247704888330543,2.247704888414196,2.247704888421072,2.247704888407597,2.247704888417929,2.247704888276663,2.247704888445299,2.247704888480861,2.247704888435476,2.247704888337963,2.247704888430905,2.247704888358637,2.247704888481518,2.24770488845156,2.247704888295138,2.247704888424972,2.247704888267727,2.247704888489772,2.247704888374576,2.247704888419157,2.24770488839487,2.247704888291191,2.247704888478522,2.247704888568105,2.24770488834764,2.247704888407754,2.247704888396202,2.247704888381436,2.247704888459855,2.247704888467081,2.24770488824618,2.247704888392697,2.247704888314396,2.247704888477497,2.247704888332189,2.247704888470541,2.247704888384138,2.247704888287994,2.247704888486026,2.247704888441944,2.247704888415952,2.247704888380249,2.247704888444678,2.247704888283483,2.247704888541265,2.247704888401871,2.247704888358307
144,0.01974376712667334,0.01974376712787971,0.01974376712676236,0.01974376712729516,0.01974376712591702,0.01974376712648399,0.01974376713004887,0.01974376712558937,0.01974376712595534,0.01974376712644801,0.01974376712711198,0.01974376712715055,0.01974376712801329,0.01974376712543508,0.0197437671251808,0.019743767129053,0.01974376712609517,0.01974376712874002,0.01974376712648123,0.01974376712659581,0.01974376712670927,0.01974376712646106,0.01974376712987119,0.01974376712574018,0.01974376712503571,0.01974376712617958,0.01974376712837289,0.01974376712619402,0.01974376712811486,0.01974376712504339,0.0197437671257373,0.01974376712956717,0.01974376712634318,0.01974376712997656,0.0197437671248759,0.01974376712759446,0.01974376712640378,0.01974376712690867,0.01974376712969468,0.01974376712498867,0.01974376712321618,0.01974376712804986,0.01974376712694812,0.01974376712685931,0.01974376712776954,0.01974376712532761,0.01974376712550277,0.01974376713054815,0.01974376712705364,0.01974376712900131,0.0197437671251312,0.01974376712848148,0.01974376712532745,0.01974376712718105,0.01974376712975687,0.01974376712480153,0.01974376712577173,0.01974376712668477,0.01974376712741956,0.01974376712596665,0.01974376712961497,0.01974376712374241,0.0197437671268368,0.01974376712828457,2.248388651512676,2.248388651408221,2.248388651513748,2.248388651458273,2.248388651568691,2.248388651522398,2.248388651258065,2.248388651602724,2.248388651572389,2.248388651527016,2.248388651471096,2.248388651482589,2.248388651401568,2.248388651607871,2.248388651612091,2.24838865132187,2.248388651556184,2.248388651346731,2.248388651532403,2.248388651508159,2.248388651511121,2.248388651529816,2.248388651269292,2.248388651588685,2.248388651634261,2.248388651544105,2.24838865138475,2.248388651547936,2.248388651391577,2.248388651632276,2.248388651580673,2.248388651284895,2.248388651536031,2.248388651266843,2.248388651643372,2.248388651438514,2.248388651535901,2.248388651501734,2.248388651273732,2.248388651643205,2.248388651758266,2.248388651414128,2.248388651480068,2.248388651505956,2.248388651407546,2.24838865162309,2.248388651591838,2.248388651220384,2.248388651485898,2.248388651333517,2.248388651626446,2.248388651377687,2.248388651609307,2.248388651480107,2.248388651269573,2.248388651658339,2.248388651588826,2.248388651503978,2.248388651454081,2.24838865155961,2.248388651293251,2.24838865172445,2.248388651502103,2.248388651370786
162,0.0197439017143286,0.01974390171718781,0.01974390171407003,0.01974390171581998,0.01974390171303688,0.0197439017141707,0.01974390172045163,0.01974390171196139,0.01974390171273093,0.01974390171410308,0.01974390171557583,0.01974390171488271,0.01974390171727874,0.01974390171200144,0.01974390171228443,0.01974390171919817,0.01974390171331672,0.01974390171854957,0.01974390171367285,0.01974390171474554,0.01974390171431177,0.01974390171389348,0.01974390172023658,0.01974390171231784,0.01974390171145427,0.01974390171375495,0.01974390171734679,0.01974390171349674,0.01974390171756778,0.01974390171153089,0.01974390171279571,0.01974390172003407,0.01974390171380632,0.01974390172013914,0.01974390171134977,0.01974390171627319,0.0197439017137287,0.01974390171441335,0.01974390172031861,0.01974390171110737,0.01974390170885112,0.0197439017165268,0.0197439017153891,0.01974390171428916,0.01974390171739637,0.01974390171149517,0.01974390171267875,0.01974390172132801,0.01974390171491612,0.01974390171872198,0.01974390171168582,0.01974390171755195,0.0197439017121665,0.01974390171494494,0.01974390172039316,0.01974390171072556,0.01974390171227866,0.01974390171474309,0.01974390171581326,0.01974390171333645,0.01974390171954781,0.01974390170953238,0.01974390171452551,0.01974390171826722,2.248297858354657,2.248297858119401,2.248297858387577,2.248297858232371,2.248297858451505,2.248297858363745,2.248297857888256,2.248297858547156,2.248297858485389,2.248297858366091,2.248297858247854,2.248297858322845,2.248297858116018,2.248297858535609,2.248297858493805,2.248297857969339,2.248297858430009,2.248297858021597,2.248297858414646,2.24829785830722,2.248297858359175,2.248297858389987,2.2482978579021,2.24829785851883,2.248297858572821,2.248297858390018,2.248297858128872,2.248297858418868,2.24829785809102,2.248297858564998,2.248297858467495,2.24829785790846,2.248297858393093,2.248297857917757,2.248297858574813,2.248297858199076,2.24829785840362,2.248297858359027,2.248297857885995,2.248297858606098,2.248297858751473,2.248297858197103,2.24829785826012,2.248297858369281,2.248297858093263,2.248297858581397,2.248297858468442,2.248297857822432,2.248297858313277,2.248297858015464,2.248297858552947,2.248297858110723,2.248297858512158,2.248297858316815,2.248297857881001,2.248297858635318,2.248297858523853,2.248297858313085,2.248297858238716,2.248297858424453,2.248297857960166,2.248297858706345,2.248297858343255,2.248297858027417
